Sp.;Infl.;N_fl._Max.;Flower_long_max.;Calyx_len.;Lobes;Std._len.;Std._ang.;Std._Shape;Wing_len.;Wing_ang.;Keel_len.;Keel_wid.;Keel_ang.;Carp.;Indum.
N. leiogyne;Fascicle;8;8;2,6;1,5;7;2,7;lanceolate;6;4;9;1,8;3,6;8,8;Glabrous
N. leiogyne;Fascicle to raceme;4;10;2,6;1,9;7,3;2,3;lanceolate;5,6;3,8;7;1,8;3,5;7,5;Glabrous
N. simplex;Fascicle;17;6,7;1,6;0,4;4,7;1;Ovate;4,6;2,3;4,7;1,3;2,3;4,5;Puberulous
N. simplex;Fascicle;15;5,8;1,8;0,5;5,3;1,6;Ovate;5,2;1,9;4,3;1,4;2,3;4,7;Puberulous
N. simplex;Fascicle;20;7,7;1,5;0,9;5,8;1,5;Ovate;4,6;2,9;4,5;1,7;2,3;5;Puberulous
N. simplex;Fascicle;30;6;1,4;0,5;5,3;1,4;Ovate;4,3;2,3;4;1,7;2;4,8;Glabrous
N. simplex;Fascicle;30;5,6;1,5;0,6;5;1,1;Ovate;4;2,1;4;1,4;1,9;4;Glabrous
N. simplex;Fascicle;30;6,4;1,7;0,6;5,4;1,6;Ovate;4,6;2,4;4,2;1,5;2,1;5;Glabrous
N. simplex;Fascicle;21;6,5;2;0,6;5;1,6;Ovate;4,2;2,4;4;1,6;2;4;Glabrous
N. micropitera;Reduced composite raceme;50;6,5;2;0,5;5,5;2;Ovate;4,5;2;4,3;1,8;2;5,5;Tomentose
N. micropitera;Reduced composite raceme;45;7,5;3;0,8;5,5;3;Ovate;5;3;4;2;3,4;7;Tomentose
N. micropitera;Reduced composite raceme;50;7,3;2,2;1,6;5,7;2;Ovate to orbiculate;4,7;2,3;4,3;1,7;2,3;5,8;Tomentose
N. micropitera;Reduced composite raceme;35;7;2;0,4;5,9;2,1;Ovate to orbiculate;4,6;3;5,3;2;3,2;6;Tomentose
N. micropitera;Reduced composite raceme;31;5,4;2;0,5;5,3;1,5;Ovate to orbiculate;4,3;2,4;4,4;1,7;2,2;5,6;Tomentose
