Sp.;Ind.;SideLf_len_max;SideLf_wid_max;Radius_SideLf_smal.;Radius_SideLf_larg.;SideLf_wid_min;TermLf_len_max;TermLf_wid_max;Radius_TermLf_smal.;Radius_TermLf_larg.;TermLf_shape;Indum_abax;Indum_adax;Articles;Apex_Wing;Long_stipe
N. leiogyne;Pilose to Glabrescent ;1;1;0,88;1;Obovate to obcordate;1,4;1;1,25;1,4;Obovate to obcordate;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. leiogyne;Pilose to Glabrescent ;1,3;1,2;0,86;1,08;Obovate to obcordate;1,6;1,3;1,25;1,23;Obovate to obcordate;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. leiogyne;Glabrescent ;1,5;1,3;1;1,15;Obovate to obcordate;1,6;1,6;1,11;1;Obovate to obcordate;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Acute to obtuse;2,8
N. leiogyne;Glabrescent ;1;1;1;1;Obovate to obcordate;1,3;1,2;0,88;1,08;Obovate to obcordate;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Acute to obtuse;3,4
N. leiogyne;Glabrescent ;1,3;1,4;0,77;0,93;Obovate to obcordate;1,7;1,7;1,15;1;Obovate to obcordate;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Acute to obtuse;3,3
N. leiogyne;Glabrescent ;1,4;1,2;1,11;1,17;Obovate to obcordate;1,5;1,4;1,07;1,07;Obovate to obcordate;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Acute to obtuse;4,8
N. leiogyne;Glabrescent ;1,3;1,2;1;1,08;Obovate to obcordate;1,3;1,3;0,83;1;Obovate to obcordate;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Acute to obtuse;3,5
N. simplex;Glabrescent to glabrous;2,5;2,2;1,8;1,14;Elliptic to oblong;2,2;2,2;1,47;1;Elliptic to oblong;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. simplex;Glabrescent to glabrous;2,3;1,4;1,5;1,64;Elliptic to oblong;2,6;1,7;1,67;1,53;Elliptic to oblong;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. simplex;Glabrescent to glabrous;2;1,2;1,11;1,67;Elliptic to orbiculate;2;1,3;1,78;1,54;Elliptic to obcordate;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. simplex;Glabrescent to glabrous;2,3;1,6;1,5;1,44;Elliptic to orbiculate;3;2;1,33;1,5;Elliptic to obovate;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. simplex;Glabrescent to glabrous;2,6;1,7;1,33;1,53;Elliptic to oblong;3,1;2;1,65;1,55;Elliptic to oblong;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. simplex;Glabrescent to glabrous;2,6;1,8;1,36;1,44;Elliptic to oblong;3;1,9;1,41;1,58;Elliptic to oblong;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. simplex;Glabrescent to glabrous;2,8;2;1,25;1,4;Elliptic to orbiculate;3,4;2,2;1,3;1,55;Elliptic to oblong;Glabrous to glabrescent;Glabrous to glabrescent;NA;NA;NA
N. simplex;Glabrescent to glabrous;2,3;1,4;1,25;1,64;Elliptic to orbiculate;2,9;1,8;1,54;1,61;Elliptic to obovate;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Obtuse to rounded;4,2
N. simplex;Glabrescent to glabrous;2,7;1,6;1,71;1,69;Elliptic to orbiculate;3,2;2;1,5;1,6;Elliptic to oblong;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Obtuse to rounded;3,6
N. simplex;Glabrescent to glabrous;2,2;1,7;1,18;1,29;Elliptic to orbiculate;NA;NA;NA;NA;Elliptic to oblong;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Obtuse;4,5
N. simplex;Glabrescent to glabrous;2;1,3;1,2;1,54;Elliptic to orbiculate;2;1,3;1,36;1,54;Elliptic to obovate;Glabrous to glabrescent;Glabrous to glabrescent;Fixo;Obtuse to rounded;4,3
N. micropitera;Tomentose;4,5;2,7;1,4;1,67;Elliptic;4,5;3;1,56;1,5;Elliptic;Tomentose;Tomentose;NA;NA;NA
N. micropitera;Tomentose;3,5;2;1,33;1,75;Elliptic;4;NA;1,13;1,67;Elliptic;Tomentose;Pilose ;Breakable;Rounded;3
N. micropitera;Tomentose;4,8;2,5;1,76;1,92;Elliptic to ovate;5;3;1,79;1,67;Elliptic;Tomentose;Tomentose;Breakable;Rounded;NA
N. micropitera;Tomentose;5,3;2,6;1,74;2,04;Elliptic to ovate;5,8;NA;1,87;1,87;Elliptic;Tomentose;Pilose;Breakable;Rounded;1,6
N. micropitera;Tomentose;3,1;2;1,4;1,55;Elliptic to ovate;4;2,2;1,89;1,82;Elliptic;Tomentose;Tomentose;NA;NA;NA
N. micropitera;Tomentose;3,1;2;1,43;1,55;Elliptic to ovate;3;NA;1,67;1,67;Elliptic;Tomentose;Tomentose;NA;NA;NA
N. micropitera;Tomentose;5,2;2,7;1,43;1,93;Elliptic to ovate;6,6;3,3;2;2;Elliptic;Tomentose;Tomentose;Breakable;Rounded;1,4
N. micropitera;Tomentose;4;2,5;1,35;1,6;Elliptic to orbiculate;4;2,5;1,75;1,6;Elliptic;Tomentose;Tomentose;Breakable;Rounded;1,2
